bids,bids_size,asks,asks_size
0.00189640,2.37000000,0.00189660,2.46000000
0.00189530,149.13000000,0.00189670,5.41000000
0.00189500,4.99000000,0.00189700,156.58000000
0.00189480,49.25000000,0.00189710,118.34000000
0.00189470,683.00000000,0.00189720,106.14000000
0.00189460,122.06000000,0.00189760,1.35000000
0.00189450,0.06000000,0.00189770,7.80000000
0.00189440,527.96000000,0.00189780,50.95000000
0.00189410,61.09000000,0.00189790,58.65000000
0.00189400,124.32000000,0.00189800,53.22000000
0.00189390,0.22000000,0.00189810,1.54000000
0.00189380,1.14000000,0.00189820,120.57000000
0.00189370,100.00000000,0.00189850,51.79000000
0.00189350,0.15000000,0.00189860,206.28000000
0.00189340,23.06000000,0.00189870,206.88000000
0.00189330,137.85000000,0.00189880,9.95000000
0.00189320,0.07000000,0.00189890,48.05000000
0.00189300,33.73000000,0.00189900,2.59000000
0.00189290,52.91000000,0.00189910,9.96000000
0.00189280,0.21000000,0.00189940,184.22000000
0.00189270,1.20000000,0.00189980,516.02000000
0.00189260,26.43000000,0.00189990,950.60000000
0.00189250,703.64000000,0.00190000,929.22000000
0.00189240,0.88000000,0.00190050,229.27000000
0.00189230,0.25000000,0.00190060,9.13000000
0.00189220,13.33000000,0.00190070,3.84000000
0.00189210,2.10000000,0.00190090,31.30000000
0.00189200,5.13000000,0.00190100,5.51000000
0.00189190,14.23000000,0.00190110,701.00000000
0.00189180,13.14000000,0.00190120,0.25000000
0.00189170,24.91000000,0.00190130,11.83000000
0.00189160,3.27000000,0.00190140,2.94000000
0.00189140,0.56000000,0.00190160,4.28000000
0.00189130,0.26000000,0.00190180,0.06000000
0.00189120,534.09000000,0.00190190,1.87000000
0.00189110,756.66000000,0.00190200,7.23000000
0.00189100,6.12000000,0.00190210,3.93000000
0.00189090,2.67000000,0.00190220,10.54000000
0.00189080,30.36000000,0.00190230,228.10000000
0.00189070,17.44000000,0.00190240,545.28000000
0.00189060,1.26000000,0.00190250,73.57000000
0.00189050,24.31000000,0.00190260,2.00000000
0.00189040,454.97000000,0.00190270,0.83000000
0.00189030,10.76000000,0.00190280,0.15000000
0.00189010,20.10000000,0.00190290,3.55000000
0.00189000,72.72000000,0.00190300,705.04000000
0.00188990,2.74000000,0.00190340,2.73000000
0.00188980,0.24000000,0.00190350,3.80000000
0.00188970,14.65000000,0.00190360,1.89000000
0.00188960,242.73000000,0.00190370,2.36000000
0.00188950,0.11000000,0.00190380,123.12000000
0.00188940,6.00000000,0.00190390,6.51000000
0.00188930,218.86000000,0.00190400,32.78000000
0.00188910,0.09000000,0.00190410,1.20000000
0.00188900,4.07000000,0.00190420,0.21000000
0.00188890,6.46000000,0.00190430,401.47000000
0.00188880,2.60000000,0.00190440,4.71000000
0.00188870,7.15000000,0.00190450,3.12000000
0.00188860,6.80000000,0.00190460,23.25000000
0.00188850,6.53000000,0.00190480,2.82000000
0.00188820,2.77000000,0.00190490,10.16000000
0.00188810,18.36000000,0.00190500,11.21000000
0.00188800,5.51000000,0.00190510,5.41000000
0.00188790,1.83000000,0.00190520,0.37000000
0.00188780,0.46000000,0.00190530,5.77000000
0.00188770,5.44000000,0.00190540,1675.26000000
0.00188760,128.08000000,0.00190550,8.66000000
0.00188750,4.38000000,0.00190560,2.34000000
0.00188740,326.42000000,0.00190570,4.15000000
0.00188730,0.28000000,0.00190580,0.06000000
0.00188720,3.50000000,0.00190590,2.29000000
0.00188710,2.14000000,0.00190600,5.82000000
0.00188700,43.32000000,0.00190610,13.96000000
0.00188690,16.27000000,0.00190630,3.99000000
0.00188680,22.40000000,0.00190640,5.12000000
0.00188670,0.40000000,0.00190650,5.93000000
0.00188660,11.21000000,0.00190660,0.18000000
0.00188650,167.27000000,0.00190670,0.22000000
0.00188640,1.65000000,0.00190680,1503.24000000
0.00188630,0.77000000,0.00190690,2.39000000
0.00188620,12.27000000,0.00190700,8.93000000
0.00188610,1.78000000,0.00190710,8.86000000
0.00188600,19.32000000,0.00190720,3.38000000
0.00188590,5.75000000,0.00190730,8.18000000
0.00188580,0.67000000,0.00190740,762.06000000
0.00188570,0.51000000,0.00190750,2347.86000000
0.00188560,13.16000000,0.00190760,30.01000000
0.00188550,543.24000000,0.00190770,48.89000000
0.00188540,51.94000000,0.00190780,3.53000000
0.00188530,10.97000000,0.00190790,61.10000000
0.00188520,0.25000000,0.00190800,160.39000000
0.00188510,6.33000000,0.00190810,4.01000000
0.00188500,67.19000000,0.00190820,8.56000000
0.00188490,6.88000000,0.00190830,3.77000000
0.00188480,24.62000000,0.00190840,7.01000000
0.00188470,28.76000000,0.00190850,85.45000000
0.00188460,17.84000000,0.00190860,55.40000000
0.00188450,0.15000000,0.00190870,10.60000000
0.00188440,3.48000000,0.00190880,12.50000000
0.00188430,1.28000000,0.00190890,20.22000000
